Step,Element,Entropy,Max Depth, Assembly, Omega, Order
0,[[A]]=A,0,0,1,3,1
1,[A][A]=[A],0,0,1,3,1
2,[A][A]=[A],0,0,1,3,1
3,[[A]]=A,0,0,1,3,1
4,[A]=[A][A],0,0,1,3,1
5,[A]=[A][A],0,0,1,3,1
6,[A]=[A][A],0,0,1,3,1
7,[A]=[A][A],0,0,1,3,1
8,[A][A]=[A],0,0,1,3,1
9,[A]=[A][A],0,0,1,3,1
10,[[A]]=A,0,0,1,3,1
11,[[A]]=A,0,0,1,3,1
12,[[A]]=A,0,0,1,3,1
13,=[[]],1.584962500721156,2,3,18,3
14,[A]=[A][A],1.5,2,3,29,4
15,[[A]]=A,1.5,2,3,29,4
16,[[A]]=A,1.5,2,3,29,4
17,[A]=[A][A],1.5,2,3,29,4
18,[A]=[A][A],1.3709505944546687,2,4,40,5
19,[[A]]=A,1.3709505944546687,2,4,40,5
20,[A]=[A][A],1.3709505944546687,2,4,40,5
21,[A]=[A][A],1.3709505944546687,2,4,40,5
22,[A]=[A][A],1.3709505944546687,2,4,40,5
23,[A]=[A][A],1.3709505944546687,2,4,40,5
24,[A][A]=[A],1.5,2,3,29,4
25,[A]=[A][A],1.3709505944546687,2,4,40,5
26,[A]=[A][A],1.224394445405986,2,4,78,9
27,=[[]],1.2406705316766884,2,8,93,11
28,[[A]]=A,1.295461844238322,2,7,84,10
29,=[[]],1.2806721295208872,2,9,99,12
30,[A][A]=[A],1.4056390622295665,2,6,61,8
31,[[A]]=A,1.4488156357251847,2,5,53,7
32,[A][A]=[A],1.4591479170272446,2,4,42,6
33,=[[]],1.4056390622295665,2,6,57,8
34,[A]=[A][A],1.4056390622295665,2,6,57,8
35,[[A]]=A,1.3787834934861753,2,5,49,7
36,[[A]]=A,1.3787834934861753,2,5,49,7
37,=[[]],1.3516441151533924,2,7,64,9
38,[[A]]=A,1.2987949406953985,2,6,56,8
39,[A]=[A][A],1.2987949406953985,2,6,56,8
40,[[A]]=A,1.2987949406953985,2,6,56,8
41,[A]=[A][A],1.224394445405986,2,7,63,9
42,[[A]]=A,1.224394445405986,2,7,63,9
43,[A]=[A][A],1.224394445405986,2,7,63,9
44,[A]=[A][A],1.224394445405986,2,7,63,9
45,[A]=[A][A],1.1567796494470395,2,8,70,10
46,[[A]]=A,1.1567796494470395,2,8,70,10
47,[A][A]=[A],0.9864267287308424,2,8,59,9
48,[[A]]=A,0.5435644431995964,1,7,51,8
49,[A]=[A][A],0.5435644431995964,1,7,51,8
50,[A][A]=[A],0.5916727785823275,1,6,44,7
51,[A][A]=[A],0.6500224216483541,1,5,37,6
52,=[[]],1.061278124459133,2,7,52,8
53,=[[]],1.1567796494470395,2,9,68,10
54,=[[]],1.188721875540867,2,11,84,12
55,[[A]]=A,1.0957952550009336,2,10,75,11
56,[A][A]=[A],1.1567796494470395,2,9,68,10
57,[A]=[A][A],1.1567796494470395,2,9,68,10
58,=[[]],1.188721875540867,2,11,84,12
59,[A][A]=[A],1.2406705316766884,2,10,77,11
60,[A][A]=[A],1.295461844238322,2,9,70,10
61,[[A]]=A,1.224394445405986,2,8,61,9
62,=[[]],1.6171895725927152,3,10,81,11
63,=[[]],1.573402452417767,3,12,97,13
64,[A]=[A][A],1.573402452417767,3,12,97,13
65,=[[]],1.532914563979398,3,14,113,15
66,[A]=[A][A],1.612197222702993,3,17,141,18
67,[A]=[A][A],1.612197222702993,3,17,141,18
68,[[A]]=A,1.4969275461145894,3,16,129,17
69,[A]=[A][A],1.4627552262645036,3,17,136,18
70,[[A]]=A,1.450467463408549,3,16,127,17
71,[A][A]=[A],1.4913146570363986,3,15,120,16
72,[A][A]=[A],1.532914563979398,3,14,113,15
73,=[[]],1.4969275461145894,3,16,129,17
74,[A]=[A][A],1.4969275461145894,3,16,129,17
75,=[[]],1.4652556501132248,3,18,145,19
76,[[A]]=A,1.2326602568158207,2,17,134,18
77,[[A]]=A,1.2210477851797181,2,16,125,17
78,[A][A]=[A],1.2475562489182659,2,15,118,16
79,[[A]]=A,1.2309595631140104,2,14,109,15
80,[A][A]=[A],1.2638091738835462,2,13,102,14
81,=[[]],1.2475562489182659,2,15,118,16
82,[[A]]=A,1.2309595631140104,2,14,109,15
83,=[[]],1.2210477851797181,2,16,125,17
84,=[[]],1.2108100261060328,2,18,141,19
85,[A][A]=[A],1.2326602568158207,2,17,134,18
86,[A]=[A][A],1.2326602568158207,2,17,134,18
87,[A]=[A][A],1.2326602568158207,2,17,134,18
88,=[[]],1.2192407046368487,2,19,150,20
89,[A]=[A][A],1.2192407046368487,2,19,150,20
90,[[A]]=A,1.2108100261060328,2,18,141,19
91,[A][A]=[A],1.2326602568158207,2,17,134,18
92,=[[]],1.4609640474436811,3,19,154,20
93,[A]=[A][A],1.4609640474436811,3,19,154,20
94,[A][A]=[A],1.4832261969709113,3,18,147,19
95,[A][A]=[A],1.519728461579561,3,16,131,17
96,[A][A]=[A],1.5628066316931741,3,14,115,15
97,[A]=[A][A],1.519728461579561,3,16,131,17
98,[A]=[A][A],1.519728461579561,3,16,131,17
99,[[A]]=A,1.271782221599798,2,15,120,16
100,[[A]]=A,1.272905595320056,2,14,111,15
101,[[A]]=A,1.2638091738835462,2,13,102,14
102,[A][A]=[A],1.2957378005380122,2,12,95,13
103,[A][A]=[A],1.3250112108241772,2,11,88,12
104,[[A]]=A,1.3221793455166666,2,10,79,11
105,=[[]],1.6143308351592656,3,11,99,13
106,[A]=[A][A],1.6143308351592656,3,11,99,13
107,[A][A]=[A],1.650022421648354,3,10,92,12
108,=[[]],1.5916727785823275,3,12,108,14
109,=[[]],1.5435644431995963,3,14,124,16
110,[[A]]=A,1.5628066316931741,3,13,115,15
111,[A]=[A][A],1.5628066316931741,3,13,115,15
112,[[A]]=A,1.5744174271404583,3,12,106,14
113,[A][A]=[A],1.6143308351592656,3,11,99,13
114,[[A]]=A,1.295461844238322,2,9,70,10
115,[[A]]=A,1.224394445405986,2,8,61,9
116,=[[]],1.6171895725927152,3,10,81,11
117,=[[]],1.573402452417767,3,12,97,13
118,[A]=[A][A],1.532914563979398,3,14,113,15
119,[[A]]=A,1.2638091738835462,2,13,102,14
120,[A]=[A][A],1.2638091738835462,2,13,102,14
121,=[[]],1.5306390622295665,3,15,122,16
122,[[A]]=A,1.532914563979398,3,14,113,15
123,[A][A]=[A],1.5744174271404583,3,13,106,14
124,[A][A]=[A],1.6143308351592656,3,12,99,13
125,=[[]],1.7055872616982601,3,12,122,15
126,=[[]],1.6578764348499595,3,14,138,17
127,[A]=[A][A],1.6578764348499595,3,14,138,17
128,[A][A]=[A],1.5628066316931741,3,14,115,15
129,[A]=[A][A],1.5435644431995963,3,14,125,16
130,[A][A]=[A],1.5916727785823275,3,12,109,14
131,[A]=[A][A],1.5916727785823275,3,12,109,14
132,=[[]],1.5435644431995963,3,14,125,16
133,[[A]]=A,1.2866926683547546,2,13,114,15
134,[A]=[A][A],1.2866926683547546,2,13,114,15
135,=[[]],1.2639334294856335,2,15,130,17
136,[A]=[A][A],1.2639334294856335,2,15,130,17
137,[A][A]=[A],1.2866926683547546,2,13,114,15
138,[A][A]=[A],1.3143204867061788,2,11,98,13
139,[[A]]=A,1.3250112108241772,2,10,89,12
140,=[[]],1.5916727785823275,3,11,109,14
141,=[[]],1.5435644431995963,3,13,125,16
142,[A]=[A][A],1.5435644431995963,3,13,125,16
143,[[A]]=A,1.5628066316931741,3,12,116,15
144,[[A]]=A,1.5744174271404583,3,11,107,14
145,[A]=[A][A],1.5744174271404583,3,11,107,14
146,[A][A]=[A],1.6143308351592656,3,10,100,13
147,[A]=[A][A],1.6143308351592656,3,10,100,13
148,[A]=[A][A],1.6143308351592656,3,10,100,13
149,[[A]]=A,1.295461844238322,2,8,71,10
150,[A][A]=[A],1.3516441151533924,2,7,64,9
151,[[A]]=A,1.2987949406953985,2,6,56,8
152,[A]=[A][A],1.2987949406953985,2,6,56,8
153,[A]=[A][A],1.2987949406953985,2,6,56,8
154,=[[]],1.295461844238322,2,8,71,10
155,[A][A]=[A],1.3516441151533924,2,7,64,9
156,=[[]],1.3221793455166666,2,9,80,11
157,[A]=[A][A],1.3221793455166666,2,9,80,11
158,=[[]],1.2957378005380122,2,11,96,13
159,[A][A]=[A],1.3250112108241772,2,10,89,12
160,[[A]]=A,1.3221793455166666,2,9,80,11
161,[A][A]=[A],1.360964047443681,2,8,73,10
162,[A]=[A][A],1.360964047443681,2,8,73,10
163,[A]=[A][A],1.3485878960124222,2,8,84,11
164,[A]=[A][A],1.3485878960124222,2,8,84,11
165,[[A]]=A,1.360964047443681,2,7,76,10
166,[A][A]=[A],1.3921472236645345,2,6,69,9
167,[A][A]=[A],1.4056390622295665,2,5,62,8
168,[A]=[A][A],1.4056390622295665,2,5,62,8
169,[A]=[A][A],1.4056390622295665,2,5,62,8
170,=[[]],1.360964047443681,2,7,77,10
171,[A][A]=[A],1.4488156357251847,2,5,50,7
172,[A][A]=[A],1.4591479170272446,2,5,40,6
173,[[A]]=A,1.3709505944546687,2,4,31,5
174,[A]=[A][A],1.3709505944546687,2,4,31,5
175,[[A]]=A,0.8112781244591328,1,3,23,4
176,[[A]]=A,0.8112781244591328,1,3,23,4
177,[A][A]=[A],0.9182958340544896,1,2,16,3
178,[A][A]=[A],1,1,2,9,2
179,[[A]]=A,1,1,2,9,2
180,[A]=[A][A],1,1,2,9,2
181,=[[]],1.5,2,3,24,4
182,=[[]],1.4591479170272446,2,5,40,6
183,[A]=[A][A],1.4591479170272446,2,5,40,6
184,[[A]]=A,1.3709505944546687,2,4,31,5
185,[A][A]=[A],1.5,2,3,24,4
186,[A]=[A][A],1.5,2,3,24,4
187,=[[]],1.9182958340544893,3,5,45,6
188,[A][A]=[A],1.9182958340544893,3,5,45,6
189,=[[]],1.811278124459133,3,7,61,8
190,[A]=[A][A],1.811278124459133,3,7,61,8
191,[[A]]=A,1.4488156357251847,2,6,50,7
192,[A]=[A][A],1.4488156357251847,2,6,50,7
193,=[[]],1.7527152789797047,3,7,70,9
194,[A][A]=[A],1.8423709931771084,3,5,54,7
195,[A][A]=[A],1.8423709931771084,3,5,54,7
196,[[A]]=A,1.9182958340544893,3,4,45,6
197,=[[]],1.811278124459133,3,6,60,8
198,[A][A]=[A],1.811278124459133,3,6,60,8
199,[[A]]=A,1.3709505944546687,2,4,31,5
200,=[[]],1.8423709931771084,3,6,51,7
201,[A]=[A][A],1.75,3,7,58,8
202,=[[]],2.121928094887362,4,8,85,10
203,[A][A]=[A],2.197159723424149,4,7,78,9
204,=[[]],2.1180782093497093,4,9,94,11
205,[[A]]=A,1.7219280948873623,3,8,76,10
206,[A][A]=[A],1.811278124459133,3,6,60,8
207,[A]=[A][A],1.811278124459133,3,6,60,8
208,[A][A]=[A],1.811278124459133,3,6,60,8
209,[A][A]=[A],1.811278124459133,3,6,60,8
210,[A]=[A][A],1.811278124459133,3,6,60,8
211,[[A]]=A,1.3709505944546687,2,4,31,5
212,[A][A]=[A],1.5,2,3,24,4
213,[A]=[A][A],1.5,2,3,24,4
214,[A][A]=[A],1.5,2,3,24,4
215,[[A]]=A,0.9182958340544896,1,2,16,3
216,=[[]],1.3709505944546687,2,4,31,5
217,=[[]],1.3787834934861753,2,6,47,7
218,=[[]],1.3516441151533924,2,8,63,9
219,[[A]]=A,1.2987949406953985,2,7,54,8
220,[A]=[A][A],1.2987949406953985,2,7,54,8
221,[[A]]=A,1.1488348542809166,2,6,45,7
222,[[A]]=A,0.6500224216483541,1,5,37,6
223,[A]=[A][A],0.6500224216483541,1,5,37,6
224,=[[]],1.061278124459133,2,7,52,8
225,[A][A]=[A],1.1488348542809166,2,6,45,7
226,[A][A]=[A],1.2516291673878228,2,5,38,6
227,=[[]],1.2987949406953985,2,7,54,8
