Step,Entropy,Max Depth, Assembly, Omega, Order
136,1.7841591278514217,3,11,95,12
137,1.7273966735744795,3,13,111,14
138,1.6774212838293647,3,15,127,16
139,1.6774212838293647,3,15,127,16
140,1.5628066316931741,3,14,115,15
141,1.6143308351592656,3,12,99,13
142,1.7055872616982601,3,12,122,15
143,1.7273966735744795,3,11,113,14
144,1.760495029766198,3,10,106,13
145,2.0419460322060456,4,12,131,15
146,2.021614871911295,4,13,151,17
147,1.6767370300521325,3,9,83,11
148,1.6854752972273344,3,8,74,10
149,1.1488348542809166,2,6,45,7
150,1.2516291673878228,2,5,38,6
151,1.3709505944546687,2,4,31,5
152,0.8112781244591328,1,3,23,4
153,0.8112781244591328,1,3,23,4
154,0.8112781244591328,1,3,23,4
155,1.2516291673878228,2,5,38,6
156,1.2987949406953985,2,7,54,8
157,1.2987949406953985,2,7,54,8
158,1.1488348542809166,2,6,45,7
159,1.1488348542809166,2,6,45,7
160,1.6577427265048887,3,8,65,9
161,1.6171895725927152,3,10,81,11
162,1.6854752972273344,3,9,74,10
163,1.3516441151533924,2,8,63,9
164,1.2987949406953985,2,7,54,8
165,1.1488348542809166,2,6,45,7
166,1.2516291673878228,2,5,38,6
167,0.7219280948873623,1,4,30,5
168,0.7219280948873623,1,4,30,5
169,0.7219280948873623,1,4,30,5
170,0.8112781244591328,1,3,23,4
171,0.9182958340544896,1,2,16,3
172,1,1,2,9,2
173,1,1,2,9,2
174,1,1,2,9,2
175,1,1,2,9,2
176,1.5,2,3,24,4
177,1.5,2,3,24,4
178,0.9182958340544896,1,2,16,3
179,0.9182958340544896,1,2,16,3
180,0.8112781244591328,1,3,23,4
181,0.8112781244591328,1,3,23,4
182,0.8112781244591328,1,3,23,4
183,0.8112781244591328,1,3,23,4
184,0.9182958340544896,1,2,16,3
185,1.9219280948873623,3,4,36,5
186,1.9219280948873623,3,4,36,5
187,2.5216406363433186,5,6,69,7
188,2.4193819456463714,5,8,84,9
189,2.4193819456463714,5,8,84,9
190,2.4193819456463714,5,8,84,9
191,2.4193819456463714,5,8,84,9
192,2.2998963911678914,5,10,100,11
193,2.0464393446710156,4,9,82,10
194,2.1556390622295662,4,7,66,8
195,2.188721875540867,4,11,109,12
196,2.1556390622295662,4,7,66,8
197,2.1709505944546685,4,9,87,10
198,2.1709505944546685,4,9,87,10
199,1.8910611120726528,3,8,73,9
200,1.867633890971212,3,8,95,11
201,1.8423709931771084,3,6,51,7
202,1.8423709931771084,3,6,51,7
203,1.8910611120726528,3,6,74,9
204,1.823067982273661,3,8,90,11
205,1.7527152789797045,3,8,67,9
206,1.6767370300521325,3,10,83,11
207,1.6143308351592656,3,12,99,13
208,1.5628066316931741,3,14,115,15
209,1.9015064025015063,4,16,141,17
210,1.9015064025015063,4,16,141,17
211,1.8024212838293647,4,15,130,16
212,1.7448425317532439,4,17,146,18
213,1.7448425317532439,4,17,146,18
214,1.6954618442383218,4,19,162,20
215,1.6954618442383218,4,19,162,20
216,1.7448425317532439,4,17,146,18
217,1.7633584292311077,4,16,137,17
218,1.8024212838293647,4,15,130,16
219,1.822815600352516,4,14,121,15
220,1.8702538164316223,4,13,114,14
221,1.8702538164316223,4,13,114,14
222,1.8024212838293647,4,15,130,16
