Step,Entropy,Max Depth, Assembly, Omega, Order
0,1.584962500721156,2,3,18,3
1,1.584962500721156,2,3,18,3
2,1.5219280948873621,2,3,34,5
3,1.5,2,3,24,4
4,1.5,2,3,24,4
5,1.4591479170272446,2,5,40,6
6,1.5,2,3,24,4
7,1.5,2,3,24,4
8,1.5,2,3,24,4
9,0.9182958340544896,1,2,16,3
10,1.3709505944546687,2,4,31,5
11,1.3709505944546687,2,4,31,5
12,0.8112781244591328,1,3,23,4
13,0.7219280948873623,1,4,30,5
14,0.7219280948873623,1,4,30,5
15,0.7219280948873623,1,4,30,5
16,0.7219280948873623,1,4,30,5
17,0.7219280948873623,1,4,30,5
18,0.8112781244591328,1,3,23,4
19,0.8112781244591328,1,3,23,4
20,0.9182958340544896,1,2,16,3
21,1.3709505944546687,2,4,31,5
22,1.3709505944546687,2,4,31,5
23,1.3709505944546687,2,4,31,5
24,1.5,2,3,24,4
25,1.5,2,3,24,4
26,1.5,2,3,24,4
27,1.5,2,3,24,4
28,1.5,2,3,24,4
29,0.9182958340544896,1,2,16,3
30,1.3709505944546687,2,4,31,5
31,1.5,2,3,24,4
32,1.4591479170272446,2,5,40,6
33,1.4056390622295665,2,7,56,8
34,1.4591479170272446,2,5,40,6
35,1.3709505944546687,2,4,31,5
36,0.8112781244591328,1,3,23,4
37,0.8112781244591328,1,3,23,4
38,0.8112781244591328,1,3,23,4
39,1.2516291673878228,2,5,38,6
40,1.2987949406953985,2,7,54,8
41,1.6854752972273344,3,9,74,10
42,1.7527152789797045,3,8,67,9
43,1.7219280948873623,3,8,77,10
44,1.7527152789797045,3,8,67,9
45,1.8423709931771084,3,6,51,7
46,1.8423709931771084,3,6,51,7
47,1.8423709931771084,3,6,51,7
48,1.4591479170272446,2,5,40,6
49,1.4591479170272446,2,5,40,6
50,1.3709505944546687,2,4,31,5
51,1.5,2,3,24,4
52,1.4591479170272446,2,5,40,6
53,1.4056390622295665,2,7,56,8
54,1.360964047443681,2,9,72,10
55,1.3250112108241772,2,11,88,12
56,1.3221793455166666,2,10,79,11
57,1.295461844238322,2,9,70,10
58,1.6258145836939115,3,11,90,12
59,1.6258145836939115,3,11,90,12
60,1.3221793455166666,2,10,79,11
61,1.295461844238322,2,9,70,10
62,1.6258145836939115,3,10,90,12
63,1.6767370300521325,3,9,83,11
64,1.6854752972273344,3,8,74,10
65,1.7527152789797045,3,7,67,9
66,1.2516291673878228,2,5,38,6
67,1.3709505944546687,2,4,31,5
68,1.5,2,3,24,4
69,1.5,2,3,24,4
70,0.9182958340544896,1,2,16,3
71,1,1,2,9,2
72,1,1,2,9,2
73,1,1,2,9,2
74,0.9182958340544896,1,2,16,3
75,1,1,2,9,2
76,1.5,2,3,24,4
77,1.5,2,3,24,4
78,0.9182958340544896,1,2,16,3
79,0.9182958340544896,1,2,16,3
80,0.8112781244591328,1,3,23,4
81,0.9182958340544896,1,2,16,3
82,1.3709505944546687,2,4,31,5
83,1.3787834934861753,2,6,47,7
84,1.3516441151533924,2,8,63,9
85,1.3221793455166666,2,10,79,11
86,1.3221793455166666,2,10,79,11
87,1.360964047443681,2,9,72,10
88,1.3516441151533924,2,8,63,9
89,1.3516441151533924,2,8,63,9
90,1.4056390622295665,2,7,56,8
91,1.360964047443681,2,9,72,10
92,1.3516441151533924,2,8,63,9
93,1.3516441151533924,2,8,63,9
94,1.3516441151533924,2,8,63,9
95,1.3516441151533924,2,8,63,9
96,1.3516441151533924,2,8,63,9
97,1.4056390622295665,2,7,56,8
98,1.3787834934861753,2,6,47,7
99,1.4591479170272446,2,5,40,6
100,1.811278124459133,3,7,61,8
101,1.811278124459133,3,7,61,8
102,1.4488156357251847,2,6,50,7
103,1.4488156357251847,2,6,50,7
104,1.4591479170272446,2,5,40,6
105,1.4056390622295665,2,7,56,8
106,1.4591479170272446,2,5,40,6
107,1.3709505944546687,2,4,31,5
108,1.8423709931771084,3,6,51,7
109,1.7527152789797045,3,8,67,9
110,1.8423709931771084,3,6,51,7
111,1.7527152789797045,3,8,67,9
112,1.8423709931771084,3,6,51,7
113,1.8423709931771084,3,6,51,7
114,1.4591479170272446,2,5,40,6
115,1.3709505944546687,2,4,31,5
116,1.3709505944546687,2,4,31,5
117,1.8423709931771084,3,6,51,7
118,1.4591479170272446,2,5,40,6
119,1.4056390622295665,2,7,56,8
120,1.360964047443681,2,9,72,10
121,1.3516441151533924,2,8,63,9
122,1.2987949406953985,2,7,54,8
123,1.3787834934861753,2,6,47,7
124,1.2516291673878228,2,5,38,6
125,0.7219280948873623,1,4,30,5
126,0.7219280948873623,1,4,30,5
127,1.6644977792004614,3,6,50,7
128,1.7924812503605778,3,5,43,6
129,1.7924812503605778,3,5,43,6
130,1.9219280948873623,3,4,36,5
131,1.5,2,3,24,4
132,1.5,2,3,24,4
133,1.4591479170272446,2,5,40,6
134,1.3709505944546687,2,4,31,5
135,1.3709505944546687,2,4,31,5
136,0.8112781244591328,1,3,23,4
137,1.2516291673878228,2,5,38,6
138,1.75,3,7,58,8
139,1.8423709931771084,3,6,51,7
140,1.4591479170272446,2,5,40,6
141,1.4056390622295665,2,7,56,8
142,1.3787834934861753,2,6,47,7
143,1.3516441151533924,2,8,63,9
144,1.3221793455166666,2,10,79,11
145,1.295461844238322,2,9,70,10
146,1.295461844238322,2,9,70,10
147,1.224394445405986,2,8,61,9
148,1.061278124459133,2,7,52,8
149,0.5916727785823275,1,6,44,7
150,0.5916727785823275,1,6,44,7
151,0.9864267287308424,2,8,59,9
152,0.5435644431995964,1,7,51,8
153,0.5916727785823275,1,6,44,7
154,0.6500224216483541,1,5,37,6
155,0.6500224216483541,1,5,37,6
156,0.6500224216483541,1,5,37,6
157,1.061278124459133,2,7,52,8
158,0.5916727785823275,1,6,44,7
159,0.5916727785823275,1,6,44,7
160,0.5916727785823275,1,6,44,7
161,0.9864267287308424,2,8,59,9
162,1.0957952550009336,2,10,75,11
163,1.0957952550009336,2,10,75,11
164,0.9219280948873623,2,9,66,10
165,0.9219280948873623,2,9,66,10
166,0.8658566174572235,2,10,73,11
167,0.9912642605354287,2,12,89,13
168,0.9912642605354287,2,12,89,13
169,1.5589385323502771,4,14,115,15
170,1.2916919971380596,3,13,100,14
171,1.3244602933016414,3,15,116,16
172,1.3752793655393791,3,14,109,15
173,1.3784188527203236,3,16,125,17
174,1.3727069617019703,3,18,141,19
175,1.3727069617019703,3,18,141,19
176,1.3727069617019703,3,18,141,19
177,1.509968612636817,3,20,162,21
178,1.543751954420502,3,19,155,20
179,1.543751954420502,3,19,155,20
180,1.5779772001172403,3,18,148,19
181,1.5779772001172403,3,18,148,19
182,1.5779772001172403,3,18,148,19
183,1.612197222702993,3,17,141,18
184,1.5783898247235197,3,19,157,20
185,1.6068322783181097,3,18,150,19
186,1.6068322783181097,3,18,150,19
187,1.4932133643654213,3,17,138,18
188,1.4652556501132248,3,18,145,19
189,1.4373770511116046,3,20,161,21
190,1.4609640474436811,3,19,154,20
191,1.4832261969709113,3,18,147,19
192,1.4519076150714063,3,20,163,21
193,1.4609640474436811,3,19,154,20
194,1.2363864108712894,2,18,143,19
195,1.221694907636328,2,20,159,21
196,1.2072100267448116,2,21,166,22
197,1.221694907636328,2,20,159,21
198,1.2344977967946407,2,19,152,20
199,1.2363864108712894,2,18,143,19
200,1.2516291673878228,2,17,136,18
201,1.2344977967946407,2,19,152,20
202,1.2197484934607568,2,21,168,22
203,1.2197484934607568,2,21,168,22
204,1.2344977967946407,2,19,152,20
205,1.4394969869215133,3,20,172,22
206,1.4689955935892813,3,18,156,20
207,1.5032583347756456,3,16,140,18
208,1.519728461579561,3,15,131,17
209,1.4832261969709113,3,17,147,19
210,1.4832261969709113,3,17,147,19
211,1.4519076150714063,3,19,163,21
212,1.4609640474436811,3,18,154,20
213,1.4832261969709113,3,17,147,19
214,1.5032583347756456,3,16,140,18
215,1.5435644431995963,3,14,124,16
216,1.6337314206421327,3,15,145,18
217,1.595461844238322,3,17,161,20
218,1.6163485660751644,3,16,152,19
219,1.580000754875826,3,18,168,21
220,1.595461844238322,3,17,161,20
221,1.5435644431995963,3,14,124,16
222,1.5032583347756456,3,16,140,18
223,1.4689955935892813,3,18,156,20
224,1.253297578463043,2,16,127,17
225,1.253297578463043,2,16,127,17
226,1.2475562489182659,2,15,118,16
227,1.2326602568158207,2,17,134,18
228,1.253297578463043,2,16,127,17
229,1.2475562489182659,2,15,118,16
230,1.2475562489182659,2,15,118,16
231,1.4932133643654213,3,16,138,18
232,1.4969275461145894,3,15,129,17
233,1.4652556501132248,3,17,145,19
234,1.4932133643654213,3,16,138,18
235,1.4969275461145894,3,15,129,17
236,1.4652556501132248,3,17,145,19
237,1.4932133643654213,3,16,138,18
238,1.4609640474436811,3,18,154,20
239,1.4832261969709113,3,17,147,19
240,1.5032583347756456,3,16,140,18
241,1.5435644431995963,3,14,124,16
242,1.5435644431995963,3,14,124,16
243,1.5032583347756456,3,16,140,18
244,1.4689955935892813,3,18,156,20
245,1.4689955935892813,3,18,156,20
246,1.5032583347756456,3,16,140,18
247,1.5435644431995963,3,14,124,16
248,1.2957378005380122,2,12,95,13
249,1.2957378005380122,2,12,95,13
250,1.3250112108241772,2,11,88,12
251,1.3250112108241772,2,11,88,12
252,1.3250112108241772,2,11,88,12
253,1.3221793455166666,2,10,79,11
254,1.2957378005380122,2,12,95,13
255,1.280672129520887,2,11,86,12
256,1.280672129520887,2,11,86,12
257,1.280672129520887,2,11,86,12
258,1.280672129520887,2,11,86,12
259,1.2389012566026305,2,12,93,13
260,1.188721875540867,2,11,84,12
261,1.2406705316766884,2,10,77,11
262,1.1567796494470395,2,9,68,10
263,1.224394445405986,2,8,61,9
264,1.061278124459133,2,7,52,8
265,0.5916727785823275,1,6,44,7
266,0.5916727785823275,1,6,44,7
267,0.6500224216483541,1,5,37,6
