Step,Entropy,Max Depth
0,0,0
1,0,0
2,0,0
3,1.584962500721156,2
4,1.584962500721156,2
5,1.584962500721156,2
6,1.5219280948873621,2
7,1.5,2
8,1.4591479170272446,2
9,1.3709505944546687,2
10,0.8112781244591328,1
11,0.8112781244591328,1
12,0.7219280948873623,1
13,1.1488348542809166,2
14,1.1488348542809166,2
15,0.6500224216483541,1
16,0.6500224216483541,1
17,0.7219280948873623,1
18,0.7219280948873623,1
19,0.7219280948873623,1
20,0.7219280948873623,1
21,0.7219280948873623,1
22,0.8112781244591328,1
23,0.8112781244591328,1
24,1.2516291673878228,2
25,1.3709505944546687,2
26,1.3787834934861753,2
27,1.4591479170272446,2
28,1.4591479170272446,2
29,1.5,2
30,1.4591479170272446,2
31,1.5,2
32,0.9182958340544896,1
33,0.9182958340544896,1
34,1,1
35,1,1
36,1,1
37,1,1
38,1,1
39,1,1
40,1.5,2
41,0.9182958340544896,1
42,1.9219280948873623,3
43,1.9219280948873623,3
44,2.2359263506290326,4
45,2.2359263506290326,4
46,2.188721875540867,4
47,2.2359263506290326,4
48,1.9182958340544893,3
49,1.811278124459133,3
50,1.7219280948873623,3
51,1.811278124459133,3
52,1.811278124459133,3
53,1.811278124459133,3
54,1.811278124459133,3
55,1.7219280948873623,3
56,1.3787834934861753,2
57,1.4591479170272446,2
58,1.4056390622295665,2
59,1.3787834934861753,2
60,1.2516291673878228,2
61,1.2987949406953985,2
62,1.2987949406953985,2
63,1.6854752972273344,3
64,1.7527152789797045,3
65,1.7527152789797045,3
66,1.7527152789797045,3
67,1.8423709931771084,3
68,1.7527152789797045,3
69,1.8423709931771084,3
70,1.8423709931771084,3
71,1.7527152789797045,3
72,1.4056390622295665,2
73,1.3921472236645345,2
74,1.3921472236645345,2
75,1.3921472236645345,2
76,1.6767370300521325,3
77,1.7219280948873623,3
78,1.2516291673878228,2
79,1.2987949406953985,2
80,1.1488348542809166,2
81,0.6500224216483541,1
82,0.6500224216483541,1
83,1.061278124459133,2
84,1.1567796494470395,2
85,1.1567796494470395,2
86,1.188721875540867,2
87,1.0957952550009336,2
88,0.9219280948873623,2
89,0.9864267287308424,2
90,1.061278124459133,2
91,1.061278124459133,2
92,0.5916727785823275,1
93,0.9864267287308424,2
94,1.4911148500551854,3
95,1.4885252948977485,3
96,1.4885252948977485,3
97,1.5510981710072647,3
98,1.2406705316766884,2
99,1.2406705316766884,2
100,1.573402452417767,3
101,1.1567796494470395,2
102,1.1567796494470395,2
103,1.1567796494470395,2
104,1.1567796494470395,2
105,1.1567796494470395,2
106,1.1567796494470395,2
107,0.9864267287308424,2
108,1.061278124459133,2
109,0.9864267287308424,2
110,0.5435644431995964,1
111,0.5435644431995964,1
112,0.5435644431995964,1
113,0.5916727785823275,1
114,0.6500224216483541,1
115,0.5916727785823275,1
116,0.5916727785823275,1
117,1.4466166676282082,3
118,1.4466166676282082,3
119,1.4466166676282082,3
120,1.061278124459133,2
121,1.1488348542809166,2
122,1.061278124459133,2
123,1.1567796494470395,2
124,1.224394445405986,2
125,1.061278124459133,2
126,0.5916727785823275,1
127,0.5916727785823275,1
128,0.9864267287308424,2
129,1.0957952550009336,2
130,1.1567796494470395,2
131,1.1567796494470395,2
132,0.9864267287308424,2
133,1.0957952550009336,2
134,1.0957952550009336,2
135,0.9219280948873623,2
136,0.5032583347756457,1
137,0.8658566174572235,2
138,0.8166890883150209,2
139,0.8658566174572235,2
140,0.8658566174572235,2
141,0.9219280948873623,2
142,0.5032583347756457,1
143,0.8658566174572235,2
144,0.9912642605354287,2
145,0.8166890883150209,2
146,0.9463729359854419,2
147,0.9912642605354287,2
148,0.8166890883150209,2
149,0.7732283485249176,2
150,0.7732283485249176,2
151,0.7345299214394703,2
152,0.39124356362925566,1
153,0.41381685030363374,1
154,0.7345299214394703,2
155,0.6998428398862386,2
156,0.7345299214394703,2
157,0.8683927290103626,2
158,0.8683927290103626,2
159,0.9055872616982603,2
160,1.2772018112022603,3
161,1.3244602933016414,3
162,1.3355055565170972,3
163,1.6709505944546688,4
164,1.6541881272613426,4
165,1.6541881272613426,4
166,1.6541881272613426,4
167,1.5487290032420458,4
168,1.590468570732828,4
169,1.590468570732828,4
170,1.5626880393039078,4
171,1.5626880393039078,4
172,1.5157895841746822,4
173,1.6709505944546688,4
174,1.5626880393039078,4
175,1.6113834567195195,4
176,1.5626880393039078,4
177,1.5157895841746822,4
178,1.5166422780956523,4
179,1.5626880393039078,4
180,1.3355055565170972,3
181,1.0863128407412879,2
182,1.0863128407412879,2
183,1.014097655573916,2
184,1.0529815751302694,2
185,1.0863128407412879,2
186,1.121640762186858,2
187,1.134969974603941,2
188,1.1411535278793057,2
189,1.1674367232867007,2
190,1.134969974603941,2
191,1.1411535278793057,2
192,1.1050139971135322,2
193,1.0529407605626346,2
194,0.9780155566622413,2
195,1.2949950747154697,3
196,1.2567796494470396,3
197,1.2949950747154697,3
198,1.0529407605626346,2
199,1.0863128407412879,2
200,1.0863128407412879,2
201,1.121640762186858,2
202,1.134969974603941,2
203,1.1050139971135322,2
204,1.0529407605626346,2
205,1.0863128407412879,2
206,1.014097655573916,2
207,0.9055872616982603,2
208,0.9463729359854419,2
209,1.014097655573916,2
210,1.014097655573916,2
211,1.0529815751302694,2
212,1.0529815751302694,2
213,1.0863128407412879,2
214,1.0863128407412879,2
215,1.014097655573916,2
216,1.3355055565170972,3
217,1.3355055565170972,3
218,1.2772018112022603,3
219,1.2332247882202196,3
220,0.6998428398862386,2
221,0.6998428398862386,2
222,0.8343470230852537,2
223,0.6685644431995964,2
224,0.35335933502142136,1
225,0.6402064333604701,2
226,0.6685644431995964,2
227,0.6998428398862386,2
228,0.37123232664087563,1
229,0.39124356362925566,1
230,0.41381685030363374,1
231,0.7345299214394703,2
232,0.7732283485249176,2
233,0.7732283485249176,2
234,0.9055872616982603,2
235,0.9055872616982603,2
236,0.7345299214394703,2
237,0.39124356362925566,1
238,0.41381685030363374,1
239,0.4394969869215134,1
240,0.4394969869215134,1
241,0.4689955935892812,1
242,0.4689955935892812,1
243,0.4689955935892812,1
244,0.4689955935892812,1
245,0.5032583347756457,1
246,1.2776134368191154,3
247,0.9219280948873623,2
248,0.9864267287308424,2
249,0.9864267287308424,2
250,0.9219280948873623,2
251,1.0408520829727552,2
252,1.0408520829727552,2
253,0.8658566174572235,2
254,0.9219280948873623,2
255,0.9864267287308424,2
256,0.9864267287308424,2
257,1.061278124459133,2
258,1.061278124459133,2
259,1.5709505944546687,3
260,1.224394445405986,2
261,1.061278124459133,2
262,1.1488348542809166,2
263,1.2516291673878228,2
264,0.7219280948873623,1
265,1.6644977792004614,3
266,1.7924812503605778,3
267,1.9219280948873623,3
268,1.9219280948873623,3
269,1.8423709931771084,3
270,1.8423709931771084,3
271,1.8423709931771084,3
